辽宁营口鲅鱼圈 , 北京,白糖,2018/10/12,http://www.56135.com/huoyuan/I9444292.html,,
天津西青 , 北京,巧克力,2018/10/11,http://www.56135.com/huoyuan/I9433393.html,,
内蒙古鄂尔多斯杭锦旗 , 北京,石脑油,2018/10/11,http://www.56135.com/huoyuan/I9433374.html,,
内蒙古鄂尔多斯杭锦旗 , 北京,普货,2018/10/11,http://www.56135.com/huoyuan/I9433369.html,,
天津静海 , 北京大兴,重货,2018/10/11,http://www.56135.com/huoyuan/I9433313.html,,
天津东丽 , 北京,钢支撑,2018/10/11,http://www.56135.com/huoyuan/I9433311.html,,
山西晋城高平 , 北京昌平,无,2018/10/11,http://www.56135.com/huoyuan/I9433253.html,,
河南驻马店泌阳 , 北京,石材,2018/10/11,http://www.56135.com/huoyuan/I9433168.html,,
山东潍坊安丘 , 北京门头沟,树苗,2018/10/11,http://www.56135.com/huoyuan/I9433102.html,,
上海 , 北京,5吨,2018/10/11,http://www.56135.com/huoyuan/I9432944.html,,
浙江宁波余姚 , 北京,普货,2018/10/11,http://www.56135.com/huoyuan/I9432799.html,,
浙江金华 , 北京,普货,2018/10/11,http://www.56135.com/huoyuan/I9432796.html,,
广东广州 , 北京,快递,2018/10/11,http://www.56135.com/huoyuan/I9432743.html,,
广东东莞 , 北京,快递,2018/10/11,http://www.56135.com/huoyuan/I9432742.html,,
广东佛山 , 北京,快递,2018/10/11,http://www.56135.com/huoyuan/I9432741.html,,
广东广州 , 北京,普货,2018/10/11,http://www.56135.com/huoyuan/I9432734.html,,
广东东莞 , 北京,无,2018/10/11,http://www.56135.com/huoyuan/I9432732.html,,
上海 , 北京,普货,2018/10/11,http://www.56135.com/huoyuan/I9432495.html,,
广东深圳 , 北京,火龙果 求15米 冷藏车,2018/10/11,http://www.56135.com/huoyuan/I9432493.html,,
上海 , 北京,普货,2018/10/11,http://www.56135.com/huoyuan/I9432398.html,,
河北唐山曹妃甸 , 北京顺义,设备,2018/10/11,http://www.56135.com/huoyuan/I9432368.html,,
山西忻州宁武 , 北京朝阳,无,2018/10/11,http://www.56135.com/huoyuan/I9432367.html,,
山西忻州原平 , 北京昌平,无,2018/10/11,http://www.56135.com/huoyuan/I9432365.html,,
山西忻州原平 , 北京朝阳,无,2018/10/11,http://www.56135.com/huoyuan/I9432363.html,,
河北张家口下花园 , 北京朝阳,无,2018/10/11,http://www.56135.com/huoyuan/I9432362.html,,
河南南阳镇平 , 北京延庆,石材,2018/10/13,http://www.56135.com/huoyuan/I9455907.html,,
山东潍坊安丘 , 北京门头沟,树苗,2018/10/13,http://www.56135.com/huoyuan/I9455841.html,,
天津 , 北京,饲料,2018/10/12,http://www.56135.com/huoyuan/I9455748.html,,
山西忻州原平 , 北京朝阳,无,2018/10/12,http://www.56135.com/huoyuan/I9455727.html,,
山西忻州原平 , 北京朝阳,无,2018/10/12,http://www.56135.com/huoyuan/I9455686.html,,
辽宁沈阳新民 , 北京,绿通,2018/10/12,http://www.56135.com/huoyuan/I9455665.html,,
陕西榆林府谷 , 北京朝阳,无,2018/10/12,http://www.56135.com/huoyuan/I9455628.html,,
山西忻州原平 , 北京朝阳,无,2018/10/12,http://www.56135.com/huoyuan/I9455620.html,,
广东汕尾 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9455607.html,,
广东东莞 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9455606.html,,
天津 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9455573.html,,
河北唐山古冶 , 北京,无,2018/10/12,http://www.56135.com/huoyuan/I9455572.html,,
广东深圳 , 北京,火龙果,2018/10/12,http://www.56135.com/huoyuan/I9455391.html,,
江苏南通 , 北京,干净货,2018/10/12,http://www.56135.com/huoyuan/I9455364.html,,
山西忻州 , 北京朝阳,无,2018/10/12,http://www.56135.com/huoyuan/I9455308.html,,
辽宁盘锦 , 北京,干净货,2018/10/12,http://www.56135.com/huoyuan/I9455295.html,,
河北唐山玉田 , 北京,无,2018/10/15,http://www.56135.com/huoyuan/I9481846.html,,
海南海口 , 北京,冻品,2018/10/15,http://www.56135.com/huoyuan/I9481696.html,,
陕西榆林 , 北京,普货,2018/10/15,http://www.56135.com/huoyuan/I9481643.html,,
广东深圳 , 北京,普货,2018/10/15,http://www.56135.com/huoyuan/I9481634.html,,
湖南常德石门 , 北京昌平,无,2018/10/15,http://www.56135.com/huoyuan/I9481215.html,,
山西忻州 , 北京,无,2018/10/15,http://www.56135.com/huoyuan/I9481157.html,,
河南濮阳 , 北京,汽油,2018/10/15,http://www.56135.com/huoyuan/I9481006.html,,
辽宁盘锦 , 北京,重整汽油,2018/10/15,http://www.56135.com/huoyuan/I9480858.html,,
辽宁抚顺 , 北京,m,2018/10/15,http://www.56135.com/huoyuan/I9480857.html,,
内蒙古乌海 , 北京,纯苯,2018/10/15,http://www.56135.com/huoyuan/I9480786.html,,
河南焦作 , 北京,白条肉,2018/10/15,http://www.56135.com/huoyuan/I9480632.html,,
北京大兴 , 北京通州,无,2018/10/15,http://www.56135.com/huoyuan/I9480624.html,,
河南焦作 , 北京,无,2018/10/15,http://www.56135.com/huoyuan/I9480588.html,,
河北邢台新河 , 北京,核桃,2018/10/15,http://www.56135.com/huoyuan/I9480562.html,,
山西忻州宁武 , 北京昌平,无,2018/10/15,http://www.56135.com/huoyuan/I9480539.html,,
山西忻州宁武 , 北京朝阳,无,2018/10/15,http://www.56135.com/huoyuan/I9480538.html,,
辽宁盘锦 , 北京,干净货,2018/10/15,http://www.56135.com/huoyuan/I9480314.html,,
河北邢台沙河 , 北京大兴,无,2018/10/15,http://www.56135.com/huoyuan/I9480104.html,,
河北邢台沙河 , 北京通州,无,2018/10/15,http://www.56135.com/huoyuan/I9480103.html,,
河北邢台沙河 , 北京昌平,无,2018/10/15,http://www.56135.com/huoyuan/I9480102.html,,
山西忻州宁武 , 北京朝阳,无,2018/10/15,http://www.56135.com/huoyuan/I9479967.html,,
内蒙古呼和浩特 , 北京,轻货,2018/10/15,http://www.56135.com/huoyuan/I9479956.html,,
湖南常德石门 , 北京,水果,2018/10/15,http://www.56135.com/huoyuan/I9479893.html,,
河北保定博野 , 北京密云,树苗,2018/10/15,http://www.56135.com/huoyuan/I9479866.html,,
河北保定清苑 , 北京延庆,树苗,2018/10/15,http://www.56135.com/huoyuan/I9479865.html,,
山西大同 , 北京,无,2018/10/15,http://www.56135.com/huoyuan/I9479776.html,,
河北唐山丰润 , 北京密云,普货,2018/10/15,http://www.56135.com/huoyuan/I9479413.html,,
广东江门开平 , 北京,盘螺,2018/10/15,http://www.56135.com/huoyuan/I9479412.html,,
江苏连云港东海 , 北京,螺纹,2018/10/15,http://www.56135.com/huoyuan/I9479411.html,,
河北唐山丰润 , 北京昌平,钢材,2018/10/15,http://www.56135.com/huoyuan/I9479410.html,,
河北唐山丰南 , 北京,盘螺,2018/10/15,http://www.56135.com/huoyuan/I9479409.html,,
河北唐山丰南 , 北京大兴,盘螺,2018/10/15,http://www.56135.com/huoyuan/I9479408.html,,
河北唐山迁安 , 北京丰台,螺纹,2018/10/15,http://www.56135.com/huoyuan/I9479407.html,,
湖北武汉 , 北京,普货,2018/10/15,http://www.56135.com/huoyuan/I9479369.html,,
山西太原 , 北京,无,2018/10/15,http://www.56135.com/huoyuan/I9479246.html,,
河北衡水安平 , 北京通州,无,2018/10/15,http://www.56135.com/huoyuan/I9479142.html,,
四川成都 , 北京,无,2018/10/15,http://www.56135.com/huoyuan/I9479111.html,,
湖南长沙 , 北京,普货,2018/10/15,http://www.56135.com/huoyuan/I9478960.html,,
湖北黄冈浠水 , 北京通州,普货,2018/10/15,http://www.56135.com/huoyuan/I9478922.html,,
河北唐山迁安 , 北京延庆,无,2018/10/15,http://www.56135.com/huoyuan/I9478858.html,,
河北唐山迁安 , 北京大兴,无,2018/10/15,http://www.56135.com/huoyuan/I9478856.html,,
湖南常德石门 , 北京昌平,无,2018/10/15,http://www.56135.com/huoyuan/I9478855.html,,
河北唐山滦县 , 北京大兴,无,2018/10/15,http://www.56135.com/huoyuan/I9478854.html,,
湖南常德石门 , 北京朝阳,无,2018/10/15,http://www.56135.com/huoyuan/I9478852.html,,
湖南常德石门 , 北京顺义,无,2018/10/15,http://www.56135.com/huoyuan/I9478850.html,,
河北唐山迁安 , 北京,普货,2018/10/15,http://www.56135.com/huoyuan/I9478839.html,,
内蒙古乌海 , 北京,纯苯,2018/10/15,http://www.56135.com/huoyuan/I9478616.html,,
山西忻州 , 北京延庆,普货,2018/10/15,http://www.56135.com/huoyuan/I9478614.html,,
山东潍坊诸城 , 北京,树苗,2018/10/15,http://www.56135.com/huoyuan/I9478562.html,,
辽宁本溪桓仁 , 北京怀柔,树苗,2018/10/15,http://www.56135.com/huoyuan/I9478548.html,,
湖北十堰 , 北京,普货,2018/10/15,http://www.56135.com/huoyuan/I9478519.html,,
河北承德双滦 , 北京平谷,水渣,2018/10/15,http://www.56135.com/huoyuan/I9478491.html,,
河北承德 , 北京,螺纹盘螺卷板,2018/10/15,http://www.56135.com/huoyuan/I9478480.html,,
天津 , 北京顺义,普货,2018/10/15,http://www.56135.com/huoyuan/I9478431.html,,
天津武清 , 北京顺义,普货,2018/10/15,http://www.56135.com/huoyuan/I9478430.html,,
